,accuracy,precision,recall,f1,specificity,roc_auc,fit_seconds,predict_seconds
KNN,0.8697444352844188,0.922365988909427,0.8113821138211382,0.8633217993079584,0.9297658862876255,0.9526252821056639,0.047,0.358
Logistic Regression,0.9134377576257213,0.9009433962264151,0.9317073170731708,0.9160671462829737,0.8946488294314381,0.9745683443456508,27.363,0.058
Random Forest,0.8334707337180544,0.8068350668647846,0.8829268292682927,0.843167701863354,0.782608695652174,0.911605079261495,39.795,0.114
Neural Network,0.9167353668590272,0.9066455696202531,0.9317073170731708,0.9190056134723336,0.9013377926421404,0.9728444408189901,1.242,0.002
